goal_keeper,first_team,second_team
Steve Banks,8467,9860
Marian Kello,9800,9860
Paul Gallacher,8426,8457
Paul Gallacher,8426,8649
Paul Gallacher,8426,9800
Steve Harper,8667,10261
Costel Pantilimon,8456,8472
Vito Mannone,8472,9825
Joel Robles,8668,9906
Mark Schwarzer,8455,9879
Marwin Hitz,8406,8721
Daniel Davari,9776,9956
Matthew Jones,9807,188163
Romain Salin,7841,9809
Romain Salin,7841,10212
Johnny Leoni,10212,10243
Vid Belec,2033,208931
Jan Oblak,9772,9906
Hugo Ventura,7841,9765
Hugo Ventura,7841,9807
Ricardo,7842,8348
Ricardo,7842,9807
Sergio Asenjo,10205,10281
Antonio Adan,8603,8633
Orestis Karnezis,7878,8600
Julio Cesar,8305,9772
Julio Cesar,8305,9807
Francesco Bardi,8537,9891
Daniele Padelli,9804,9976
Morgan De Sanctis,8686,9875
Antonio Rosati,7943,8535
Antonio Rosati,7943,9875
Antonio Rosati,7943,9888
Gianluca Pegolo,7943,8551
Antonio Adan,8529,8603
Antonio Adan,8529,8633
Antonio Rosati,8535,9875
Antonio Rosati,8535,9888
Didier Ovono,8573,8682
Kenny Steppe,8475,10000
Kenny Steppe,8475,10228
Alphonse Areola,7794,10205
Remy Vercoutre,7819,9748
Rudy Riou,8588,9986
Johan Carrasso,8550,9837
Simon Pouplin,9831,9874
Erik Cummins,6433,9908
Kostas Lamprou,8525,10235
Filip Kurto,6631,9803
Filip Kurto,6631,10218
Sergio Padt,8674,9991
Gino Coutinho,10218,10229
Bram Castro,9791,9803
Bram Castro,9791,9997
Remko Pasveer,8640,9791
Olivier Werner,9984,9998
Thomas Kaminski,8635,9993
Mathew Ryan,8342,10267
Davino Verhulst,9994,9997
Yohan Thuram Ulien,9985,10242
Laurent Henkinet,8571,9997
Wojciech Pawlowski,8025,8030
Silvio Rodic,8019,8021
Dariusz Trela,8030,8245
Dariusz Trela,8030,8569
Arkadiusz Malarz,8569,8673
Mariusz Pawelek,8025,10265
Thibaut Courtois,8455,9906
Thibaut Courtois,8455,9987
Fraser Forster,8466,9925
Eldin Jakupovic,8667,9956
Wilfredo Caballero,8456,9864
David Ospina,9825,9831
Mark Schwarzer,8197,8455
Mark Schwarzer,8197,9879
Michel Vorm,8586,9908
Michel Vorm,8586,10003
Kyle Letheren,8284,8597
Mark Ridgers,9800,9860
Yann Sommer,9788,9931
Yann Sommer,9788,9956
Oliver Baumann,8226,8358
Roman Buerki,8358,9789
Roman Buerki,8358,9956
Timo Hildebrand,9810,10189
Pepe Reina,9823,9875
Koen Casteels,8697,8721
Cristiano,10215,10264
Cassio,7841,158085
Marafona,8348,10264
Alireza Haghighi,6547,10212
Mika,8613,9771
Julio Cesar,9772,10172
Pawel Kieszek,7842,9803
Pawel Kieszek,7842,10238
Jesus Fernandez,8581,8633
Cristian Alvarez,8370,8558
Vicente Guaita,8305,10267
Juan Carlos,7869,8370
Miguel Angel Moya,9906,10267
Przemyslaw Tyton,10268,10269
Tono,8370,8696
Tono,8370,10268
Fabri,9783,10281
Diego Marino,8581,10281
Oier Olazabal,7878,8560
Jaime,8372,10281
Nicola Leali,9880,9891
Francesco Bardi,8533,8537
Francesco Bardi,8533,9891
Diego Lopez,8564,8633
Diego Lopez,8564,10205
Simone Colombi,8529,8540
Andrea Consigli,7943,8524
Albano Benjamin Bizzarri,8533,8543
Albano Benjamin Bizzarri,8533,10233
Francesco Benussi,9876,9888
Francesco Benussi,9876,208931
Zeljko Brkic,8529,8551
Zeljko Brkic,8529,8600
Zeljko Brkic,8529,208931
Laurent Henkinet,8475,8571
Laurent Henkinet,8475,9997
Rudy Riou,1773,8588
Rudy Riou,1773,9986
Jean-Francois Gillet,8203,9804
Jean-Francois Gillet,8203,9857
Jean-Francois Gillet,8203,9976
Sinan Bolat,8342,9985
Yves De Winter,9997,10001
Ludovic Butelle,8342,8639
Kenny Steppe,10000,10228
Erwin Mulder,10228,10235
Mickey van der Hart,6413,6433
Bradley Jones,8464,8549
Bradley Jones,8464,8650
Artur Boruc,8678,9925
Alex McCarthy,9826,10172
Maarten Stekelenburg,8466,8593
Maarten Stekelenburg,8466,8686
Maarten Stekelenburg,8466,9879
Shay Given,10194,10252
Shay Given,10194,10261
Kristoffer Nordfeldt,10003,10228
Darren Randolph,8654,9927
Asmir Begovic,8455,8462
Asmir Begovic,8455,10194
Adam Federici,8678,9798
Mauro Goicoechea,9941,158085
Ludovic Butelle,8121,8342
Ludovic Butelle,8121,8639
Yohann Pele,8592,8682
Yohann Pele,8592,9874
Yohann Pele,8592,9941
Paul Bernardoni,9827,10242
Denis Petric,8121,10242
Jamie MacDonald,8597,9860
Tomas Cerny,8426,8429
Eiji Kawashima,9938,9985
Eiji Kawashima,9938,9989
Dariusz Trela,8245,8569
Emilijus Zubas,8033,8569
Grzegorz Sandomierski,2186,8027
Radoslaw Janukiewicz,8020,8023
Lukasz Budzilek,8030,8569
Roman Buerki,9789,9956
Felix Wiedwald,8697,9810
Lukasz Zaluska,8262,9925
Lukasz Zaluska,8262,9938
Marafona,6403,8348
Marafona,6403,10264
Ruben,8581,9864
Ruben,8581,9865
